city,district,exposure,size,building_year,bedrooms,bathrooms,kitchen,garage,driver_room,maid_room,furnished,ac,rooftop,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Ar-Ramal,South,280,2018,4,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3300
Riyadh,Al-Malqa,South,200,2019,6,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
Riyadh,Al-Narjis,East,230,2020,5,5,1,1,1,1,0,1,0,0,1,0,1,1,0,0,85000
Riyadh,Al-Fayha,Four Streets,360,2020,4,3,1,1,0,0,1,1,0,1,1,0,0,1,0,0,75000
Riyadh,Al-Munsiyah,North,312,2019,3,5,1,1,0,1,1,1,1,0,1,0,0,1,0,0,145000
Riyadh,Ar-Ramal,East,460,2017,5,5,1,1,1,0,0,1,1,0,1,0,0,1,0,1,75000
Riyadh,Al-Rahmaniyah,West,300,2019,3,5,1,1,1,1,0,1,0,1,1,0,0,0,0,0,220000
Riyadh,Al-Mahdiah,South,250,2020,5,5,0,1,0,1,0,0,0,0,1,0,1,1,0,0,50000
Riyadh,Ar-Ramal,Northeast,350,2020,5,5,1,1,0,1,0,1,1,0,1,0,0,1,0,0,55000
Riyadh,Ar-Ramal,North,450,2020,5,5,1,1,1,1,0,1,1,0,0,0,0,1,0,1,60000
Riyadh,Al-Zahrah ,Southeast,500,2007,4,5,1,1,1,1,0,1,1,0,0,0,0,1,0,0,45000
Riyadh,Al-Narjis,East,260,2020,3,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,100000
Riyadh,Ash-Shuhadah,South,205,2020,5,5,0,1,0,1,0,1,0,0,1,0,1,1,1,0,140000
Riyadh,Al-Ardeh,East,250,2019,4,5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,85000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Ar-Ramal,East,460,2017,1,5,1,1,1,1,0,1,1,0,1,0,0,0,0,1,75000
Riyadh,Al-Malqa,South,200,2018,7,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
Riyadh,Hattan,North,155,2020,3,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,180000
Riyadh,Ar-Ramal,West,400,2020,5,5,1,0,0,1,1,0,0,0,0,0,0,1,0,1,60000
Riyadh,Al-Yarmouk ,North,300,2011,4,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,65000
Riyadh,Al-Malqa,South,375,2017,5,5,1,1,1,1,0,1,1,0,1,0,0,0,0,0,120000
Riyadh,Al-Ardeh,East,300,2019,5,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
Riyadh,Ar-Ramal,North,300,2020,4,5,1,1,0,0,0,0,1,0,1,0,1,1,0,0,38000
Riyadh,Al-Alyshah,Southeast,340,2020,3,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
Riyadh,Al-Ardeh,East,250,2019,7,4,1,1,1,1,1,0,0,0,1,0,0,1,0,0,110000
Riyadh,Al-Aqiq,South,300,2006,5,4,1,0,1,1,0,1,0,0,0,0,0,1,0,0,120000
Riyadh,Al-Rahmaniyah,Northeast,450,2008,7,5,1,1,1,1,1,1,0,0,1,0,0,1,0,0,120000
Riyadh,Al-Musayyif ,West,500,2011,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000
Riyadh,Al-Munsiyah,West,290,2020,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,60000
Riyadh,Al-Musayyif ,South,400,2006,3,3,1,1,0,1,0,1,1,0,1,0,0,0,0,1,80000
Riyadh,Al-Narjis,East,270,2020,4,5,1,1,1,1,1,1,0,0,0,0,0,1,0,0,100000
Riyadh,Dhahrah Laban,North,200,2020,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
Riyadh,Al-Malqa,West,200,2020,4,5,1,1,1,1,0,1,0,0,0,0,1,0,0,0,150000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Ar-Ramal,Northeast,300,2020,5,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,48000
Riyadh,Al-Malqa,South,250,2019,5,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
Riyadh,Al-Ardeh,South,300,2019,4,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
Riyadh,Al-Malik Abdullah ,South,2500,2011,6,5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,800000
